customer_id,age_segment,total_orders,average_order_value
C001,18-24,4,1538.05
C002,35-44,2,1765.86
C003,25-34,6,1321.3
C004,18-24,4,16572.72
C005,55+,13,1162.63
C006,55+,3,3486.67
C007,18-24,2,1690.42
C008,18-24,9,2021.46
C009,25-34,7,11548.4
C010,55+,7,1113.78
C011,55+,7,907.03
C012,55+,6,3771.15
C013,25-34,1,2650.61
C014,55+,5,2980.93
C015,18-24,4,1161.59
C016,45-54,7,3177.51
C017,35-44,7,971.25
C018,25-34,10,3331.75
C019,18-24,6,1999.58
C020,45-54,6,1526.26
C021,35-44,9,4108.71
C022,55+,12,4105.76
C023,18-24,3,8009.78
C024,45-54,8,11924.14
C025,18-24,10,3988.42
C026,18-24,8,12571.8
C027,35-44,5,8556.84
C028,55+,5,5389.6
C029,55+,5,1277.62
C030,18-24,5,1448.91
C031,25-34,5,4354.42
C032,18-24,7,747.87
C033,18-24,5,2692.09
C034,35-44,4,2009.4
C035,35-44,5,1608.42
C036,35-44,5,6244.81
C037,25-34,3,14097.28
C038,35-44,6,13799.69
C039,18-24,5,13032.2
C040,25-34,9,14778.7
C041,25-34,3,882.51
C042,45-54,7,5116.89
C043,35-44,6,16832.46
C044,55+,5,1711.18
C045,35-44,7,1656.82
C046,25-34,4,1450.19
C047,35-44,9,4324.52
C048,35-44,10,2170.12
C049,25-34,8,11508.4
C050,35-44,5,2244.31
C051,45-54,10,1435.66
C052,45-54,7,1957.09
C053,35-44,3,1141.11
C054,25-34,5,16577.49
C055,55+,5,8023.17
C056,35-44,3,9686.38
C057,55+,3,3877.21
C058,55+,6,4648.89
C059,35-44,8,1636.98
C060,25-34,8,17734.59
C061,45-54,4,500.0
C062,18-24,8,1392.69
C063,25-34,11,14598.21
C064,25-34,7,11689.27
C065,45-54,3,6542.1
C066,18-24,7,4914.61
C067,45-54,8,17048.78
C068,45-54,5,19144.91
C069,35-44,5,12534.39
C070,18-24,6,12106.91
C071,18-24,5,10925.37
C072,55+,6,4901.86
C073,35-44,6,2125.13
C074,35-44,8,4555.64
C075,25-34,2,3382.91
C076,18-24,4,8223.47
C077,35-44,2,12521.9
C078,25-34,3,14723.62
C079,18-24,10,17540.94
C080,35-44,6,12797.87
C081,55+,5,11784.98
C082,25-34,9,1090.47
C083,35-44,8,1761.36
C084,55+,11,8126.63
C085,18-24,4,6397.94
C086,35-44,11,3235.21
C087,18-24,6,2402.88
C088,35-44,5,3066.36
C089,25-34,9,1804.77
C090,25-34,4,12637.97
C091,18-24,3,1981.99
C092,45-54,2,1768.97
C093,55+,4,1339.02
C094,25-34,7,10712.59
C095,45-54,9,13415.06
C096,25-34,2,2470.24
C097,55+,6,15321.97
C098,45-54,5,1570.38
C099,55+,9,7395.96
C100,25-34,4,20388.1
C101,35-44,11,6571.37
C102,35-44,12,4149.01
C103,55+,5,4330.32
C104,18-24,6,1848.0
C105,25-34,8,1613.79
C106,35-44,7,1515.42
C107,55+,10,11793.06
C108,25-34,4,4265.35
C109,25-34,9,1558.88
C110,18-24,9,11332.38
C111,18-24,7,1307.95
C112,18-24,6,2419.39
C113,35-44,1,1376.89
C114,55+,14,1236.44
C115,35-44,3,8247.01
C116,45-54,4,2542.39
C117,55+,6,990.37
C118,55+,11,16242.12
C119,45-54,5,1324.93
C120,45-54,2,2813.66
C121,25-34,2,2539.08
C122,18-24,4,10048.89
C123,45-54,1,2138.65
C124,45-54,6,3700.26
C125,45-54,11,11552.43
C126,18-24,4,10021.76
C127,18-24,6,2500.68
C128,45-54,9,13408.86
C129,35-44,6,1702.69
C130,25-34,3,1419.71
C131,25-34,4,14722.48
C132,45-54,8,1514.36
C133,45-54,4,1128.69
C134,35-44,4,4594.37
C135,25-34,3,2126.92
C136,45-54,3,13029.33
C137,18-24,3,1411.52
C138,55+,2,1575.89
C139,18-24,8,1800.76
C140,25-34,2,4976.9
C141,45-54,7,3550.84
C142,25-34,2,5126.75
C143,18-24,7,1685.49
C144,45-54,4,1731.13
C145,45-54,10,4402.77
C146,45-54,5,4689.86
C147,45-54,3,10050.08
C148,55+,4,14811.67
C149,45-54,5,969.42
C150,25-34,9,5154.58
C151,25-34,8,911.0
C152,55+,6,11730.91
C153,55+,7,1640.76
C154,35-44,10,1553.11
C155,18-24,6,11334.26
C156,45-54,10,8356.44
C157,55+,2,1702.4
C158,18-24,4,6007.77
C159,18-24,9,1880.92
C160,18-24,4,20838.64
C161,18-24,8,10571.1
C162,25-34,5,5388.31
C163,18-24,6,8024.77
C164,25-34,3,15219.16
C165,55+,6,2280.41
C166,55+,6,1264.01
C167,45-54,9,8287.98
C168,55+,2,13887.75
C169,55+,5,2455.54
C170,35-44,4,1701.37
C171,35-44,5,1316.63
C172,35-44,5,3406.16
C173,25-34,11,9029.92
C174,35-44,7,3559.99
C175,35-44,11,2035.25
C176,18-24,6,5586.37
C177,55+,10,12268.82
C178,18-24,9,1027.44
C179,55+,5,1313.27
C180,55+,8,3572.68
C181,25-34,7,3433.2
C182,18-24,6,1711.33
C183,35-44,1,6546.05
C184,25-34,8,4413.06
C185,55+,8,11759.22
C186,35-44,4,15279.81
C187,55+,4,1766.79
C188,55+,4,2450.47
C189,18-24,9,925.13
C190,35-44,6,1011.1
C191,18-24,5,7501.24
C192,55+,8,968.14
C193,35-44,3,1664.43
C194,55+,2,1300.28
C195,35-44,5,1670.07
C196,35-44,4,13006.97
C197,45-54,4,5310.07
C198,18-24,8,1515.67
C199,45-54,7,3453.74
C200,18-24,2,1892.43
C201,35-44,10,1180.18
C202,35-44,5,1640.62
C203,45-54,5,12147.16
C204,45-54,5,11307.9
C205,18-24,5,1216.35
C206,18-24,6,14563.38
C207,25-34,9,10781.39
C208,18-24,7,2837.69
C209,55+,5,11632.96
C210,25-34,5,3564.84
C211,25-34,9,1686.02
C212,35-44,7,4166.65
C213,18-24,6,3969.88
C214,25-34,1,12777.65
C215,25-34,4,4698.29
C216,18-24,9,4185.77
C217,55+,7,3788.66
C218,55+,6,11647.8
C219,25-34,5,1591.98
C220,25-34,4,1136.68
C221,45-54,4,1798.47
C222,25-34,7,10919.42
C223,35-44,4,3459.85
C224,25-34,5,4314.05
C225,25-34,5,12488.01
C226,18-24,8,3143.69
C227,18-24,13,4826.99
C228,25-34,8,1819.12
C229,45-54,3,3606.02
C230,35-44,6,1335.27
C231,25-34,5,1936.11
C232,25-34,8,2579.02
C233,35-44,5,3092.87
C234,18-24,9,5056.66
C235,35-44,9,10765.74
C236,55+,7,4528.75
C237,55+,4,3535.68
C238,18-24,3,1361.57
C239,35-44,2,1118.38
C240,55+,8,3046.4
C241,18-24,6,1640.52
C242,55+,8,5689.89
C243,35-44,6,9530.65
C244,35-44,9,3835.82
C245,55+,5,11630.47
C246,18-24,8,5119.26
C247,55+,5,1110.39
C248,35-44,7,1683.8
C249,45-54,6,957.04
C250,55+,4,11211.65
C251,25-34,7,2434.33
C252,45-54,4,2019.1
C253,35-44,9,11972.74
C254,35-44,6,12909.37
C255,18-24,2,10493.69
C256,35-44,9,13676.07
C257,35-44,6,12730.9
C258,45-54,10,3540.91
C259,45-54,2,9230.6
C260,35-44,4,13511.46
C261,25-34,5,1637.04
C262,45-54,6,12660.21
C263,45-54,4,11285.16
C264,25-34,4,8958.79
C265,55+,13,3619.62
C266,45-54,2,11153.94
C267,18-24,4,4655.61
C268,35-44,7,2111.09
C269,45-54,7,11810.33
C270,55+,4,7435.42
C271,35-44,3,3924.18
C272,45-54,3,4875.51
C273,25-34,9,11377.11
C274,45-54,4,6750.07
C275,25-34,4,7755.14
