transaction_id,customer_id,product_id,date,quantity
T00001,C021,P025,2025-03-31,1
T00002,C334,P015,2025-05-23,1
T00003,C093,P019,2025-08-12,1
T00004,C252,P003,2025-08-29,1
T00005,C179,P014,2025-06-20,1
T00006,C165,P022,2025-02-23,1
T00007,C169,P014,2025-12-22,1
T00008,C254,P010,2025-12-06,1
T00009,C484,P013,2025-10-09,1
T00010,C019,P015,2025-02-15,1
T00011,C162,P009,2025-06-15,1
T00012,C060,P025,2025-07-26,1
T00013,C423,P001,2025-12-03,1
T00014,C237,P014,2025-01-28,1
T00015,C097,P017,2025-07-05,1
T00016,C319,P025,2025-09-13,1
T00017,C390,P002,2025-04-15,1
T00018,C137,P018,2025-03-09,1
T00019,C475,P010,2025-08-13,1
T00020,C451,P023,2025-09-06,1
T00021,C063,P001,2025-11-19,1
T00022,C123,P023,2025-03-23,1
T00023,C160,P018,2025-01-08,1
T00024,C283,P014,2025-02-17,1
T00025,C116,P027,2025-02-28,1
T00026,C237,P004,2025-11-28,1
T00027,C427,P005,2025-09-13,1
T00028,C150,P017,2025-12-28,1
T00029,C140,P014,2025-09-05,1
T00030,C242,P008,2025-08-22,1
T00031,C283,P005,2025-07-16,1
T00031,C283,P010,2025-07-16,1
T00032,C261,P024,2025-03-11,1
T00033,C443,P003,2025-05-22,1
T00034,C396,P026,2025-08-01,1
T00035,C175,P030,2025-09-17,1
T00036,C137,P027,2025-01-02,1
T00037,C145,P024,2025-06-02,1
T00038,C429,P019,2025-10-24,1
T00039,C251,P028,2025-03-18,1
T00040,C229,P018,2025-09-05,1
T00041,C177,P011,2025-10-10,1
T00042,C194,P015,2025-06-14,1
T00043,C446,P007,2025-12-24,1
T00044,C123,P019,2025-07-16,1
T00044,C123,P021,2025-07-16,1
T00045,C023,P011,2025-08-31,1
T00046,C416,P013,2025-07-17,1
T00047,C340,P026,2025-11-30,1
T00048,C078,P016,2025-01-19,1
T00048,C078,P018,2025-01-19,1
T00049,C446,P004,2025-08-14,1
T00050,C052,P017,2025-08-22,1
T00051,C008,P024,2025-03-15,1
T00052,C210,P028,2025-12-02,1
T00053,C497,P005,2025-02-08,1
T00054,C497,P009,2025-06-23,1
T00055,C320,P023,2025-07-23,1
T00056,C333,P003,2025-06-18,1
T00057,C437,P022,2025-10-01,1
T00058,C163,P021,2025-09-07,1
T00059,C447,P018,2025-01-19,1
T00060,C317,P003,2025-05-01,1
T00061,C324,P022,2025-05-28,1
T00062,C383,P003,2025-08-11,1
T00063,C051,P025,2025-11-21,1
T00064,C052,P015,2025-03-27,1
T00065,C356,P010,2025-01-15,1
T00066,C024,P011,2025-01-29,1
T00066,C024,P014,2025-01-29,1
T00067,C221,P005,2025-05-06,1
T00068,C290,P022,2025-04-03,1
T00068,C290,P023,2025-04-03,1
T00069,C313,P028,2025-07-15,1
T00070,C318,P022,2025-05-04,1
T00071,C299,P005,2025-04-29,1
T00072,C131,P015,2025-05-11,1
T00073,C342,P001,2025-08-27,1
T00074,C347,P018,2025-03-22,1
T00075,C038,P015,2025-06-26,1
T00076,C301,P010,2025-11-24,1
T00077,C493,P014,2025-12-20,1
T00078,C129,P015,2025-06-04,1
T00079,C102,P013,2025-09-05,1
T00080,C055,P008,2025-07-15,1
T00081,C293,P012,2025-10-22,1
T00082,C152,P023,2025-06-01,1
T00083,C012,P027,2025-12-04,1
T00084,C203,P009,2025-01-05,1
T00085,C290,P028,2025-12-18,1
T00086,C399,P024,2025-01-26,1
T00087,C467,P020,2025-09-12,1
T00088,C427,P029,2025-05-27,1
T00089,C118,P020,2025-06-30,1
T00090,C113,P021,2025-04-08,1
T00091,C318,P009,2025-12-14,1
T00092,C387,P024,2025-12-04,1
T00093,C349,P027,2025-03-12,1
T00094,C322,P004,2025-11-18,1
T00095,C331,P002,2025-06-08,1
T00096,C404,P015,2025-01-18,1
T00097,C297,P012,2025-03-09,1
T00098,C047,P030,2025-06-01,1
T00099,C168,P024,2025-08-01,1
T00100,C090,P007,2025-03-09,1
T00101,C403,P018,2025-07-07,1
T00102,C272,P017,2025-05-20,1
T00103,C426,P006,2025-05-12,1
T00104,C468,P027,2025-09-04,1
T00105,C496,P026,2025-06-01,1
T00106,C383,P028,2025-06-23,1
T00107,C412,P004,2025-08-28,1
T00108,C494,P003,2025-03-14,1
T00109,C387,P008,2025-12-13,1
T00110,C371,P022,2025-07-23,1
T00111,C412,P018,2025-07-07,1
T00112,C047,P026,2025-07-22,1
T00113,C008,P009,2025-10-02,1
T00114,C064,P015,2025-07-08,1
T00115,C345,P024,2025-12-11,1
T00116,C135,P019,2025-07-15,1
T00117,C482,P012,2025-02-25,1
T00118,C346,P008,2025-08-30,1
T00119,C013,P020,2025-10-15,1
